"지역별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"지역별(1)",계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력
"전체",199293,100746,4408,20603,126,574,72164,484,181,7
"서울",33138,16619,286,3870,15,18,12106,166,56,2
"부산",8279,4298,88,1606,3,11,2220,20,33,-
"대구",6300,3051,687,886,-,6,1604,63,3,-
"인천",13062,7067,132,1247,6,57,4532,9,12,-
"광주",7526,2655,1391,742,5,6,2691,31,5,-
"대전",7688,4162,342,656,8,8,2500,4,8,-
"울산",2682,1323,11,564,6,3,759,14,2,-
"세종",356,134,11,16,-,-,195,-,-,-
"경기",45791,23523,317,4259,27,128,17426,92,18,1
"강원",8989,4585,193,1187,8,80,2927,7,2,-
"충북",6791,4004,101,495,5,3,2157,16,10,-
"충남",11637,6154,65,1073,7,67,4265,4,1,1
"전북",14141,6797,227,1360,6,73,5627,36,12,3
"전남",6147,3044,123,641,10,44,2276,3,6,-
"경북",12416,6324,101,853,9,55,5069,2,3,-
"경남",7962,3787,121,1074,6,4,2958,7,5,-
"제주",6388,3219,212,74,5,11,2852,10,5,-
